[TioConverter - -1][Feb 29 2016 20:31:11 -0500] Error 902 - Invalid Credentials - No user found with matching password -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:39 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:32:19 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:32:33 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:32:41 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:33:11 -0500] Logged in as admin -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:33:14 -0500] Error 902 - Invalid Credentials - No user found with matching password -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:35:27 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:35:59 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:36:31 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:36:37 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:36:42 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:36:51 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:36:55 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:37:10 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:41 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:37:14 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:41 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:40:32 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:45 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
[TioConverter - -1][Feb 29 2016 20:40:43 -0500] Logged in as taerk -- require_once() in C:\wamp\www\_sites\polarity.gg\t\main\tioconverter.admin.php:43 -- /t/admin?login?tioevent=admin&tiogame=&other=&login -- 127.0.0.1 -- Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0
